Date,Maximum,Minimum,Average,Departure,
2022-11-01,68,45,56.5,8.9,
2022-11-02,72,43,57.5,10.4,
2022-11-03,73,52,62.5,15.8,
2022-11-04,72,61,66.5,20.2,
2022-11-05,69,45,57.0,11.2,
2022-11-06,61,45,53.0,7.6,
2022-11-07,54,39,46.5,1.5,
2022-11-08,54,44,49.0,4.5,
2022-11-09,70,47,58.5,14.4,
2022-11-10,76,60,68.0,24.4,
2022-11-11,61,32,46.5,3.3,
2022-11-12,36,32,34.0,-8.7,
2022-11-13,38,28,33.0,-9.3,
2022-11-14,42,27,34.5,-7.3,
2022-11-15,38,33,35.5,-5.9,
2022-11-16,37,31,34.0,-7.0,
2022-11-17,33,29,31.0,-9.5,
2022-11-18,30,21,25.5,-14.6,
2022-11-19,27,16,21.5,-18.2,
2022-11-20,34,13,23.5,-15.7,
2022-11-21,47,30,38.5,-0.3,
2022-11-22,52,26,39.0,0.6,
2022-11-23,58,34,46.0,8.0,
2022-11-24,54,35,44.5,7.0,
2022-11-25,52,33,42.5,5.4,
2022-11-26,56,34,45.0,8.3,
2022-11-27,47,35,41.0,4.7,
2022-11-28,46,29,37.5,1.5,
2022-11-29,58,34,46.0,10.4,
2022-11-30,35,20,27.5,-7.7,
,,,,,
